Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro)
7.0,10.0,0.0,0.0,1.0,2019,59459,3109,10884
5.0,20.0,0.0,0.0,0.0,2018,83561,2440,14921
9.0,23.0,2.0,1.0,0.0,2023,13754,3080,12627
4.0,22.0,1.0,0.0,0.0,2022,40296,2391,22676
9.0,15.0,2.0,2.0,0.0,2018,96422,1889,18775
3.0,9.0,2.0,2.0,1.0,2021,30302,2759,18806
7.0,16.0,1.0,0.0,1.0,2020,18154,3190,13277
4.0,7.0,2.0,0.0,0.0,2021,62077,2740,32049
6.0,1.0,2.0,1.0,0.0,2021,47587,1564,13321
7.0,10.0,0.0,1.0,1.0,2015,22936,1880,11865
5.0,17.0,0.0,2.0,0.0,2016,31347,2308,10397
0.0,4.0,1.0,0.0,1.0,2019,51984,2167,19168
4.0,22.0,1.0,2.0,0.0,2017,15350,2648,30562
6.0,1.0,2.0,1.0,1.0,2017,35433,2344,11910
3.0,6.0,2.0,1.0,0.0,2019,93815,2519,12716
5.0,17.0,2.0,2.0,1.0,2019,64878,3131,11456
5.0,17.0,2.0,2.0,1.0,2020,43780,2832,11402
6.0,1.0,0.0,1.0,1.0,2022,23756,2988,12972
6.0,2.0,1.0,2.0,1.0,2019,93835,2947,12458
2.0,13.0,0.0,0.0,0.0,2022,7186,2586,11027
5.0,17.0,1.0,1.0,0.0,2017,31318,1670,15234
4.0,12.0,0.0,0.0,1.0,2019,68156,3051,21927
4.0,12.0,1.0,0.0,1.0,2018,93647,2883,27616
5.0,17.0,1.0,1.0,0.0,2015,74326,2498,10063
6.0,2.0,1.0,2.0,0.0,2021,58897,2707,13905
0.0,4.0,1.0,0.0,0.0,2023,15748,2649,16656
5.0,17.0,2.0,2.0,1.0,2016,41641,1492,16480
8.0,21.0,1.0,1.0,0.0,2023,9445,2195,14582
6.0,1.0,1.0,0.0,0.0,2017,121052,2249,12022
0.0,4.0,2.0,2.0,0.0,2020,33477,2308,19336
7.0,16.0,2.0,2.0,1.0,2020,12936,2215,9520
6.0,2.0,1.0,2.0,1.0,2015,18258,3011,9901
7.0,16.0,2.0,2.0,1.0,2018,81858,1842,13066
2.0,13.0,0.0,1.0,1.0,2017,22038,2506,10204
4.0,22.0,2.0,2.0,1.0,2015,98911,3017,29326
2.0,13.0,1.0,2.0,0.0,2015,38228,2919,11430
3.0,9.0,1.0,2.0,0.0,2020,72271,2615,12246
3.0,6.0,1.0,2.0,0.0,2015,20945,2380,19334
3.0,9.0,0.0,0.0,0.0,2016,26178,2059,17039
5.0,17.0,0.0,1.0,1.0,2023,14663,2329,13043
7.0,10.0,2.0,0.0,0.0,2018,61370,2324,13561
