Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro),Distance_by_year,age,engine_per_age,eng_cap_diff,eng_cap_diff_max
4.0,12.0,2.0,2.0,1.0,2015,112090,2322,27840,11209.0,9,232.2,7.116279069767643,865.0
6.0,1.0,2.0,1.0,0.0,2021,47587,1564,13321,11896.75,3,391.0,765.1162790697676,1623.0
5.0,17.0,2.0,1.0,0.0,2020,41517,3170,9641,8303.4,4,634.0,840.8837209302324,17.0
5.0,17.0,0.0,2.0,1.0,2016,63932,2726,10262,7103.555555555556,8,302.8888888888889,343.0566037735848,383.0
9.0,15.0,2.0,2.0,0.0,2018,96422,1889,18775,13774.57142857143,6,269.85714285714283,440.1162790697677,1298.0
5.0,17.0,0.0,0.0,0.0,2023,15366,1934,10693,7683.0,1,967.0,448.9433962264152,1175.0
0.0,4.0,2.0,2.0,0.0,2020,33477,2308,19336,6695.4,4,461.6,21.116279069767643,879.0
4.0,12.0,0.0,1.0,0.0,2022,39010,2734,24133,13003.333333333334,2,911.3333333333334,351.0566037735848,375.0
3.0,6.0,1.0,2.0,0.0,2019,37406,3120,17321,6234.333333333333,5,520.0,818.7037037037039,70.0
2.0,14.0,1.0,1.0,0.0,2020,67031,2533,12222,13406.2,4,506.6,231.70370370370392,657.0
5.0,17.0,0.0,1.0,1.0,2023,14663,2329,13043,7331.5,1,1164.5,53.94339622641519,780.0
8.0,11.0,1.0,1.0,0.0,2021,48576,2176,16595,12144.0,3,544.0,125.29629629629608,1014.0
7.0,10.0,1.0,2.0,1.0,2016,104230,1561,11343,11581.111111111111,8,173.44444444444446,740.2962962962961,1629.0
3.0,9.0,1.0,1.0,1.0,2019,82139,2278,14131,13689.833333333334,5,379.6666666666667,23.29629629629608,912.0
9.0,23.0,2.0,1.0,0.0,2023,13754,3080,12627,6877.0,1,1540.0,750.8837209302324,107.0
0.0,5.0,2.0,1.0,1.0,2016,118918,2107,22742,13213.111111111111,8,234.11111111111111,222.11627906976764,1080.0
1.0,3.0,0.0,2.0,0.0,2023,11984,2436,18900,5992.0,1,1218.0,53.05660377358481,673.0
3.0,6.0,2.0,2.0,0.0,2018,103366,2351,16670,14766.57142857143,6,335.85714285714283,21.88372093023236,836.0
0.0,5.0,1.0,0.0,1.0,2021,58892,2403,15266,14723.0,3,600.75,101.70370370370392,787.0
4.0,7.0,0.0,0.0,1.0,2019,64929,2047,31435,10821.5,5,341.1666666666667,335.9433962264152,1062.0
3.0,9.0,2.0,2.0,1.0,2021,30302,2759,18806,7575.5,3,689.75,429.8837209302324,428.0
3.0,6.0,1.0,1.0,1.0,2020,26319,2158,14610,5263.8,4,431.6,143.29629629629608,1032.0
8.0,21.0,2.0,1.0,1.0,2018,92416,1610,13683,13202.285714285714,6,230.0,719.1162790697676,1577.0
8.0,8.0,2.0,0.0,0.0,2022,26420,2091,17351,8806.666666666666,2,697.0,238.11627906976764,1096.0
4.0,12.0,2.0,2.0,0.0,2019,82993,2933,29863,13832.166666666666,5,488.8333333333333,603.8837209302324,254.0
0.0,4.0,1.0,0.0,1.0,2019,51984,2167,19168,8664.0,5,361.1666666666667,134.29629629629608,1023.0
3.0,6.0,0.0,0.0,1.0,2022,34371,3023,11365,11457.0,2,1007.6666666666666,640.0566037735848,86.0
0.0,4.0,1.0,0.0,0.0,2023,15748,2649,16656,7874.0,1,1324.5,347.7037037037039,541.0
5.0,17.0,2.0,2.0,1.0,2016,41641,1492,16480,4626.777777777777,8,165.77777777777777,837.1162790697676,1695.0
4.0,12.0,2.0,0.0,0.0,2022,11723,3187,17683,3907.6666666666665,2,1062.3333333333333,857.8837209302324,0.0
6.0,1.0,2.0,0.0,1.0,2017,75010,2893,9315,9376.25,7,361.625,563.8837209302324,294.0
5.0,17.0,1.0,0.0,1.0,2016,105864,2181,13747,11762.666666666666,8,242.33333333333331,120.29629629629608,1009.0
5.0,17.0,0.0,2.0,0.0,2016,31347,2308,10397,3483.0,8,256.44444444444446,74.94339622641519,801.0
5.0,17.0,2.0,2.0,1.0,2020,43780,2832,11402,8756.0,4,566.4,502.8837209302324,355.0
0.0,4.0,0.0,0.0,1.0,2017,96506,2265,18083,12063.25,7,283.125,117.9433962264152,844.0
6.0,1.0,2.0,2.0,1.0,2020,69042,1439,8438,13808.4,4,287.8,890.1162790697676,1748.0
7.0,10.0,0.0,1.0,0.0,2017,40697,1977,11691,5087.125,7,247.125,405.9433962264152,1132.0
0.0,19.0,0.0,2.0,1.0,2015,69823,1808,24070,6982.3,9,180.8,574.9433962264152,1301.0
8.0,21.0,1.0,1.0,0.0,2023,9445,2195,14582,4722.5,1,1097.5,106.29629629629608,995.0
0.0,4.0,0.0,0.0,0.0,2018,106327,1992,25822,15189.57142857143,6,284.57142857142856,390.9433962264152,1117.0
4.0,22.0,1.0,0.0,0.0,2022,40296,2391,22676,13432.0,2,797.0,89.70370370370392,799.0
5.0,20.0,1.0,0.0,1.0,2020,37816,1452,9812,7563.2,4,290.4,849.2962962962961,1738.0
7.0,10.0,0.0,0.0,0.0,2018,98850,2730,12328,14121.42857142857,6,390.0,347.0566037735848,379.0
3.0,6.0,1.0,2.0,1.0,2016,79901,1880,13808,8877.888888888889,8,208.88888888888889,421.2962962962961,1310.0
5.0,20.0,2.0,1.0,0.0,2023,32319,1400,11470,16159.5,1,700.0,929.1162790697676,1787.0
6.0,1.0,0.0,1.0,1.0,2022,23756,2988,12972,7918.666666666667,2,996.0,605.0566037735848,121.0
5.0,20.0,1.0,1.0,1.0,2018,38386,1490,14628,5483.714285714285,6,212.8571428571429,811.2962962962961,1700.0
7.0,16.0,1.0,0.0,1.0,2020,18154,3190,13277,3630.8,4,638.0,888.7037037037039,0.0
8.0,11.0,0.0,2.0,1.0,2018,65332,2116,13246,9333.142857142857,6,302.2857142857143,266.9433962264152,993.0
7.0,16.0,2.0,2.0,1.0,2020,12936,2215,9520,2587.2,4,443.0,114.11627906976764,972.0
3.0,6.0,0.0,1.0,0.0,2023,18983,3101,19905,9491.5,1,1550.5,718.0566037735848,8.0
3.0,9.0,0.0,0.0,0.0,2016,26178,2059,17039,2908.6666666666665,8,228.77777777777777,323.9433962264152,1050.0
3.0,6.0,0.0,2.0,0.0,2021,59115,2897,16887,14778.75,3,724.25,514.0566037735848,212.0
1.0,24.0,1.0,0.0,1.0,2021,19341,1760,26014,4835.25,3,440.0,541.2962962962961,1430.0
3.0,6.0,0.0,2.0,1.0,2016,19053,1710,12632,2117.0,8,190.0,672.9433962264152,1399.0
7.0,16.0,1.0,2.0,0.0,2015,34327,1554,13937,3432.7,9,155.4,747.2962962962961,1636.0
5.0,17.0,0.0,2.0,1.0,2018,99155,2826,12095,14165.0,6,403.7142857142857,443.0566037735848,283.0
9.0,18.0,0.0,2.0,0.0,2017,11734,1917,22763,1466.75,7,239.625,465.9433962264152,1192.0
7.0,10.0,0.0,1.0,0.0,2020,8617,1636,13488,1723.4,4,327.2,746.9433962264152,1473.0
4.0,12.0,0.0,2.0,0.0,2019,6854,2850,25512,1142.3333333333333,5,475.0,467.0566037735848,259.0
0.0,4.0,1.0,0.0,1.0,2018,98032,1724,17729,14004.57142857143,6,246.28571428571428,577.2962962962961,1466.0
5.0,17.0,2.0,2.0,1.0,2019,64878,3131,11456,10813.0,5,521.8333333333334,801.8837209302324,56.0
1.0,24.0,0.0,2.0,1.0,2020,7757,2604,22711,1551.4,4,520.8,221.0566037735848,505.0
8.0,8.0,1.0,2.0,0.0,2018,24313,1450,10915,3473.285714285714,6,207.14285714285717,851.2962962962961,1740.0
2.0,13.0,1.0,2.0,0.0,2015,38228,2919,11430,3822.8,9,291.9,617.7037037037039,271.0
5.0,17.0,1.0,1.0,0.0,2017,31318,1670,15234,3914.75,7,208.75,631.2962962962961,1520.0
7.0,16.0,2.0,2.0,1.0,2019,91951,1612,13896,15325.166666666666,5,268.6666666666667,717.1162790697676,1575.0
6.0,2.0,1.0,2.0,1.0,2015,18258,3011,9901,1825.8,9,301.1,709.7037037037039,179.0
6.0,2.0,1.0,1.0,1.0,2021,7082,1461,8318,1770.5,3,365.25,840.2962962962961,1729.0
2.0,14.0,1.0,0.0,1.0,2023,15134,2765,11340,7567.0,1,1382.5,463.7037037037039,425.0
4.0,12.0,0.0,0.0,1.0,2019,68156,3051,21927,11359.333333333334,5,508.5,668.0566037735848,58.0
9.0,18.0,1.0,2.0,0.0,2021,50460,2414,15712,12615.0,3,603.5,112.70370370370392,776.0
2.0,14.0,0.0,1.0,1.0,2021,22841,2424,12287,5710.25,3,606.0,41.05660377358481,685.0
4.0,7.0,2.0,0.0,0.0,2021,62077,2740,32049,15519.25,3,685.0,410.8837209302324,447.0
6.0,2.0,2.0,2.0,0.0,2023,24555,1979,14171,12277.5,1,989.5,350.11627906976764,1208.0
4.0,12.0,1.0,1.0,0.0,2019,19168,2585,17885,3194.6666666666665,5,430.8333333333333,283.7037037037039,605.0
4.0,22.0,1.0,2.0,0.0,2017,15350,2648,30562,1918.75,7,331.0,346.7037037037039,542.0
7.0,10.0,2.0,0.0,0.0,2018,61370,2324,13561,8767.142857142857,6,332.0,5.116279069767643,863.0
2.0,14.0,0.0,2.0,1.0,2021,49019,2730,11088,12254.75,3,682.5,347.0566037735848,379.0
1.0,3.0,0.0,1.0,1.0,2022,6270,2934,22520,2090.0,2,978.0,551.0566037735848,175.0
8.0,8.0,1.0,0.0,1.0,2019,76987,1668,18849,12831.166666666666,5,278.0,633.2962962962961,1522.0
1.0,3.0,0.0,0.0,0.0,2023,29604,1946,25545,14802.0,1,973.0,436.9433962264152,1163.0
7.0,16.0,1.0,0.0,0.0,2021,44735,2620,12918,11183.75,3,655.0,318.7037037037039,570.0
3.0,6.0,1.0,2.0,1.0,2016,128210,2112,15120,14245.555555555557,8,234.66666666666663,189.29629629629608,1078.0
