Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro),Distance_by_year,age,engine_per_age,eng_cap_diff,eng_cap_diff_max
8.0,11.0,0.0,1.0,0.0,2015,147133,1524,17231,14713.3,9,152.4,858.9433962264152,1585.0
7.0,16.0,0.0,2.0,1.0,2023,10158,1516,14041,5079.0,1,758.0,866.9433962264152,1593.0
8.0,21.0,0.0,1.0,1.0,2021,12856,2566,12715,3214.0,3,641.5,183.0566037735848,543.0
5.0,17.0,0.0,0.0,0.0,2023,15366,1934,10693,7683.0,1,967.0,448.9433962264152,1175.0
4.0,7.0,0.0,0.0,1.0,2019,64929,2047,31435,10821.5,5,341.1666666666667,335.9433962264152,1062.0
1.0,3.0,0.0,2.0,0.0,2023,11984,2436,18900,5992.0,1,1218.0,53.05660377358481,673.0
2.0,14.0,1.0,1.0,1.0,2017,62433,3107,12311,7804.125,7,388.375,805.7037037037039,83.0
7.0,16.0,2.0,2.0,1.0,2019,91951,1612,13896,15325.166666666666,5,268.6666666666667,717.1162790697676,1575.0
7.0,10.0,0.0,1.0,0.0,2017,40697,1977,11691,5087.125,7,247.125,405.9433962264152,1132.0
7.0,10.0,2.0,2.0,1.0,2022,21457,3132,8035,7152.333333333333,2,1044.0,802.8837209302324,55.0
9.0,18.0,1.0,1.0,0.0,2017,88507,1936,14345,11063.375,7,242.0,365.2962962962961,1254.0
7.0,16.0,1.0,2.0,0.0,2015,34327,1554,13937,3432.7,9,155.4,747.2962962962961,1636.0
6.0,1.0,2.0,2.0,0.0,2023,9852,2280,8541,4926.0,1,1140.0,49.11627906976764,907.0
8.0,21.0,2.0,1.0,1.0,2018,92416,1610,13683,13202.285714285714,6,230.0,719.1162790697676,1577.0
8.0,8.0,0.0,2.0,0.0,2017,109842,3060,12093,13730.25,7,382.5,677.0566037735848,49.0
5.0,20.0,2.0,2.0,0.0,2018,39970,1726,15241,5710.0,6,246.57142857142858,603.1162790697676,1461.0
8.0,11.0,0.0,2.0,1.0,2018,65332,2116,13246,9333.142857142857,6,302.2857142857143,266.9433962264152,993.0
5.0,17.0,2.0,1.0,0.0,2020,41517,3170,9641,8303.4,4,634.0,840.8837209302324,17.0
7.0,10.0,0.0,1.0,0.0,2020,8617,1636,13488,1723.4,4,327.2,746.9433962264152,1473.0
0.0,5.0,2.0,1.0,1.0,2016,118918,2107,22742,13213.111111111111,8,234.11111111111111,222.11627906976764,1080.0
5.0,20.0,1.0,1.0,1.0,2018,38386,1490,14628,5483.714285714285,6,212.85714285714286,811.2962962962961,1700.0
9.0,23.0,2.0,1.0,1.0,2021,9585,2760,22544,2396.25,3,690.0,430.88372093023236,427.0
2.0,14.0,1.0,0.0,1.0,2023,15134,2765,11340,7567.0,1,1382.5,463.7037037037039,425.0
8.0,11.0,1.0,1.0,0.0,2021,48576,2176,16595,12144.0,3,544.0,125.29629629629608,1014.0
5.0,20.0,2.0,1.0,0.0,2023,32319,1400,11470,16159.5,1,700.0,929.1162790697676,1787.0
3.0,6.0,1.0,2.0,1.0,2022,33977,2783,13251,11325.666666666666,2,927.6666666666666,481.7037037037039,407.0
2.0,13.0,0.0,1.0,0.0,2023,26753,2696,12858,13376.5,1,1348.0,313.0566037735848,413.0
8.0,8.0,1.0,2.0,0.0,2018,24313,1450,10915,3473.285714285714,6,207.14285714285714,851.2962962962961,1740.0
5.0,17.0,0.0,2.0,1.0,2018,99155,2826,12095,14165.0,6,403.7142857142857,443.0566037735848,283.0
1.0,24.0,1.0,0.0,1.0,2021,19341,1760,26014,4835.25,3,440.0,541.2962962962961,1430.0
7.0,10.0,1.0,1.0,0.0,2018,20906,2334,8580,2986.5714285714284,6,333.42857142857144,32.70370370370392,856.0
3.0,6.0,0.0,1.0,0.0,2023,18983,3101,19905,9491.5,1,1550.5,718.0566037735848,8.0
3.0,6.0,1.0,2.0,0.0,2019,37406,3120,17321,6234.333333333333,5,520.0,818.7037037037039,70.0
3.0,6.0,1.0,2.0,1.0,2016,79901,1880,13808,8877.888888888889,8,208.88888888888889,421.2962962962961,1310.0
4.0,7.0,0.0,0.0,0.0,2018,55205,2821,19792,7886.428571428572,6,403.0,438.0566037735848,288.0
9.0,18.0,2.0,1.0,1.0,2023,20267,2251,13272,10133.5,1,1125.5,78.11627906976764,936.0
6.0,1.0,2.0,0.0,1.0,2021,36259,1412,13922,9064.75,3,353.0,917.1162790697676,1775.0
3.0,6.0,2.0,1.0,0.0,2018,40774,2292,15862,5824.857142857143,6,327.42857142857144,37.11627906976764,895.0
4.0,12.0,1.0,1.0,1.0,2022,13364,2674,25511,4454.666666666667,2,891.3333333333334,372.7037037037039,516.0
1.0,0.0,2.0,0.0,0.0,2021,13893,3175,21494,3473.25,3,793.75,845.8837209302324,12.0
8.0,8.0,2.0,0.0,0.0,2022,26420,2091,17351,8806.666666666666,2,697.0,238.11627906976764,1096.0
1.0,3.0,0.0,1.0,1.0,2022,6270,2934,22520,2090.0,2,978.0,551.0566037735848,175.0
0.0,19.0,0.0,2.0,1.0,2015,69823,1808,24070,6982.3,9,180.8,574.9433962264152,1301.0
3.0,6.0,0.0,1.0,1.0,2016,62138,2352,17914,6904.222222222223,8,261.3333333333333,30.94339622641519,757.0
4.0,12.0,1.0,1.0,0.0,2019,19168,2585,17885,3194.6666666666665,5,430.8333333333333,283.7037037037039,605.0
5.0,20.0,0.0,1.0,0.0,2018,14961,2612,14486,2137.285714285714,6,373.14285714285717,229.0566037735848,497.0
6.0,1.0,0.0,1.0,0.0,2016,15766,2111,11216,1751.7777777777778,8,234.55555555555554,271.9433962264152,998.0
0.0,5.0,1.0,0.0,1.0,2021,58892,2403,15266,14723.0,3,600.75,101.70370370370392,787.0
5.0,17.0,1.0,1.0,0.0,2017,101180,2468,16630,12647.5,7,308.5,166.70370370370392,722.0
3.0,6.0,0.0,2.0,0.0,2021,59115,2897,16887,14778.75,3,724.25,514.0566037735848,212.0
3.0,6.0,2.0,2.0,0.0,2018,103366,2351,16670,14766.57142857143,6,335.85714285714283,21.883720930232357,836.0
9.0,18.0,2.0,0.0,0.0,2017,68904,1834,16432,8613.0,7,229.25,495.11627906976764,1353.0
7.0,10.0,2.0,1.0,1.0,2015,140430,1791,8265,14043.0,9,179.1,538.1162790697676,1396.0
3.0,6.0,0.0,0.0,1.0,2022,34371,3023,11365,11457.0,2,1007.6666666666666,640.0566037735848,86.0
2.0,14.0,1.0,1.0,0.0,2020,67031,2533,12222,13406.2,4,506.6,231.70370370370392,657.0
9.0,15.0,1.0,2.0,0.0,2022,22754,2027,15315,7584.666666666667,2,675.6666666666666,274.2962962962961,1163.0
1.0,0.0,1.0,0.0,0.0,2023,29975,2813,17843,14987.5,1,1406.5,511.7037037037039,377.0
6.0,2.0,2.0,2.0,0.0,2023,24555,1979,14171,12277.5,1,989.5,350.11627906976764,1208.0
4.0,12.0,0.0,2.0,0.0,2019,6854,2850,25512,1142.3333333333333,5,475.0,467.0566037735848,259.0
4.0,12.0,2.0,0.0,0.0,2022,11723,3187,17683,3907.6666666666665,2,1062.3333333333333,857.8837209302324,0.0
9.0,18.0,0.0,2.0,0.0,2017,11734,1917,22763,1466.75,7,239.625,465.9433962264152,1192.0
3.0,6.0,0.0,2.0,1.0,2016,19053,1710,12632,2117.0,8,190.0,672.9433962264152,1399.0
7.0,16.0,1.0,0.0,0.0,2021,44735,2620,12918,11183.75,3,655.0,318.7037037037039,570.0
3.0,9.0,1.0,1.0,1.0,2019,82139,2278,14131,13689.833333333334,5,379.6666666666667,23.296296296296077,912.0
8.0,11.0,0.0,1.0,1.0,2018,39687,2752,11230,5669.571428571428,6,393.14285714285717,369.0566037735848,357.0
4.0,12.0,2.0,2.0,1.0,2015,112090,2322,27840,11209.0,9,232.2,7.116279069767643,865.0
2.0,14.0,1.0,1.0,1.0,2019,64510,1545,13349,10751.666666666666,5,257.5,756.2962962962961,1645.0
5.0,17.0,0.0,2.0,1.0,2016,63932,2726,10262,7103.555555555556,8,302.8888888888889,343.0566037735848,383.0
4.0,12.0,2.0,2.0,0.0,2019,82993,2933,29863,13832.166666666666,5,488.8333333333333,603.8837209302324,254.0
2.0,14.0,0.0,1.0,1.0,2021,22841,2424,12287,5710.25,3,606.0,41.05660377358481,685.0
5.0,20.0,1.0,0.0,1.0,2020,37816,1452,9812,7563.2,4,290.4,849.2962962962961,1738.0
4.0,12.0,0.0,1.0,0.0,2022,39010,2734,24133,13003.333333333334,2,911.3333333333334,351.0566037735848,375.0
3.0,6.0,1.0,2.0,1.0,2016,128210,2112,15120,14245.555555555555,8,234.66666666666666,189.29629629629608,1078.0
9.0,18.0,1.0,2.0,0.0,2021,50460,2414,15712,12615.0,3,603.5,112.70370370370392,776.0
1.0,3.0,1.0,2.0,0.0,2020,38082,2062,16930,7616.4,4,412.4,239.29629629629608,1128.0
5.0,17.0,1.0,0.0,1.0,2015,54173,2461,11921,5417.3,9,246.1,159.70370370370392,729.0
8.0,8.0,1.0,0.0,1.0,2019,76987,1668,18849,12831.166666666666,5,278.0,633.2962962962961,1522.0
0.0,4.0,1.0,0.0,1.0,2018,98032,1724,17729,14004.57142857143,6,246.28571428571428,577.2962962962961,1466.0
8.0,11.0,2.0,1.0,0.0,2016,125965,1640,16329,13996.111111111111,8,182.22222222222223,689.1162790697676,1547.0
7.0,10.0,0.0,0.0,1.0,2019,59459,3109,10884,9909.833333333334,5,518.1666666666666,726.0566037735848,0.0
5.0,20.0,0.0,0.0,0.0,2018,83561,2440,14921,11937.285714285714,6,348.57142857142856,57.05660377358481,669.0
9.0,23.0,2.0,1.0,0.0,2023,13754,3080,12627,6877.0,1,1540.0,750.8837209302324,107.0
4.0,22.0,1.0,0.0,0.0,2022,40296,2391,22676,13432.0,2,797.0,89.70370370370392,799.0
9.0,15.0,2.0,2.0,0.0,2018,96422,1889,18775,13774.57142857143,6,269.85714285714283,440.11627906976764,1298.0
3.0,9.0,2.0,2.0,1.0,2021,30302,2759,18806,7575.5,3,689.75,429.88372093023236,428.0
7.0,16.0,1.0,0.0,1.0,2020,18154,3190,13277,3630.8,4,638.0,888.7037037037039,0.0
4.0,7.0,2.0,0.0,0.0,2021,62077,2740,32049,15519.25,3,685.0,410.88372093023236,447.0
6.0,1.0,2.0,1.0,0.0,2021,47587,1564,13321,11896.75,3,391.0,765.1162790697676,1623.0
7.0,10.0,0.0,1.0,1.0,2015,22936,1880,11865,2293.6,9,188.0,502.9433962264152,1229.0
5.0,17.0,0.0,2.0,0.0,2016,31347,2308,10397,3483.0,8,256.44444444444446,74.94339622641519,801.0
0.0,4.0,1.0,0.0,1.0,2019,51984,2167,19168,8664.0,5,361.1666666666667,134.29629629629608,1023.0
4.0,22.0,1.0,2.0,0.0,2017,15350,2648,30562,1918.75,7,331.0,346.7037037037039,542.0
6.0,1.0,2.0,1.0,1.0,2017,35433,2344,11910,4429.125,7,293.0,14.883720930232357,843.0
3.0,6.0,2.0,1.0,0.0,2019,93815,2519,12716,15635.833333333334,5,419.8333333333333,189.88372093023236,668.0
5.0,17.0,2.0,2.0,1.0,2019,64878,3131,11456,10813.0,5,521.8333333333334,801.8837209302324,56.0
5.0,17.0,2.0,2.0,1.0,2020,43780,2832,11402,8756.0,4,566.4,502.88372093023236,355.0
6.0,1.0,0.0,1.0,1.0,2022,23756,2988,12972,7918.666666666667,2,996.0,605.0566037735848,121.0
6.0,2.0,1.0,2.0,1.0,2019,93835,2947,12458,15639.166666666666,5,491.1666666666667,645.7037037037039,243.0
2.0,13.0,0.0,0.0,0.0,2022,7186,2586,11027,2395.3333333333335,2,862.0,203.0566037735848,523.0
5.0,17.0,1.0,1.0,0.0,2017,31318,1670,15234,3914.75,7,208.75,631.2962962962961,1520.0
4.0,12.0,0.0,0.0,1.0,2019,68156,3051,21927,11359.333333333334,5,508.5,668.0566037735848,58.0
4.0,12.0,1.0,0.0,1.0,2018,93647,2883,27616,13378.142857142857,6,411.85714285714283,581.7037037037039,307.0
5.0,17.0,1.0,1.0,0.0,2015,74326,2498,10063,7432.6,9,249.8,196.70370370370392,692.0
6.0,2.0,1.0,2.0,0.0,2021,58897,2707,13905,14724.25,3,676.75,405.7037037037039,483.0
0.0,4.0,1.0,0.0,0.0,2023,15748,2649,16656,7874.0,1,1324.5,347.7037037037039,541.0
5.0,17.0,2.0,2.0,1.0,2016,41641,1492,16480,4626.777777777777,8,165.77777777777777,837.1162790697676,1695.0
8.0,21.0,1.0,1.0,0.0,2023,9445,2195,14582,4722.5,1,1097.5,106.29629629629608,995.0
6.0,1.0,1.0,0.0,0.0,2017,121052,2249,12022,15131.5,7,281.125,52.29629629629608,941.0
0.0,4.0,2.0,2.0,0.0,2020,33477,2308,19336,6695.4,4,461.6,21.116279069767643,879.0
7.0,16.0,2.0,2.0,1.0,2020,12936,2215,9520,2587.2,4,443.0,114.11627906976764,972.0
6.0,2.0,1.0,2.0,1.0,2015,18258,3011,9901,1825.8,9,301.1,709.7037037037039,179.0
7.0,16.0,2.0,2.0,1.0,2018,81858,1842,13066,11694.0,6,263.14285714285717,487.11627906976764,1345.0
2.0,13.0,0.0,1.0,1.0,2017,22038,2506,10204,2754.75,7,313.25,123.05660377358481,603.0
4.0,22.0,2.0,2.0,1.0,2015,98911,3017,29326,9891.1,9,301.7,687.8837209302324,170.0
2.0,13.0,1.0,2.0,0.0,2015,38228,2919,11430,3822.8,9,291.9,617.7037037037039,271.0
3.0,9.0,1.0,2.0,0.0,2020,72271,2615,12246,14454.2,4,523.0,313.7037037037039,575.0
3.0,6.0,1.0,2.0,0.0,2015,20945,2380,19334,2094.5,9,238.0,78.70370370370392,810.0
3.0,9.0,0.0,0.0,0.0,2016,26178,2059,17039,2908.6666666666665,8,228.77777777777777,323.9433962264152,1050.0
5.0,17.0,0.0,1.0,1.0,2023,14663,2329,13043,7331.5,1,1164.5,53.94339622641519,780.0
7.0,10.0,2.0,0.0,0.0,2018,61370,2324,13561,8767.142857142857,6,332.0,5.116279069767643,863.0
