Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro)
Peugeot,3008,Hatchback,Hybrid,Manual,2022,23756,2988,12972
Peugeot,308,SUV,Petrol,Manual,2019,93835,2947,12458
Ford,Fiesta,Hatchback,Diesel,Auto,2022,7186,2586,11027
Nissan,Micra,SUV,Hybrid,Auto,2017,31318,1670,15234
Mercedes,E-Class,Hatchback,Diesel,Manual,2019,68156,3051,21927
Mercedes,E-Class,SUV,Diesel,Manual,2018,93647,2883,27616
Nissan,Micra,SUV,Hybrid,Auto,2015,74326,2498,10063
Peugeot,308,SUV,Petrol,Auto,2021,58897,2707,13905
Audi,A4,SUV,Diesel,Auto,2023,15748,2649,16656
Nissan,Micra,Sedan,Petrol,Manual,2016,41641,1492,16480
Toyota,RAV4,SUV,Hybrid,Auto,2023,9445,2195,14582
Peugeot,3008,SUV,Diesel,Auto,2017,121052,2249,12022
Audi,A4,Sedan,Petrol,Auto,2020,33477,2308,19336
Renault,Megane,Sedan,Petrol,Manual,2020,12936,2215,9520
Peugeot,308,SUV,Petrol,Manual,2015,18258,3011,9901
Renault,Megane,Sedan,Petrol,Manual,2018,81858,1842,13066
Ford,Fiesta,Hatchback,Hybrid,Manual,2017,22038,2506,10204
Mercedes,S-Class,Sedan,Petrol,Manual,2015,98911,3017,29326
Ford,Fiesta,SUV,Petrol,Auto,2015,38228,2919,11430
Honda,Civic,SUV,Petrol,Auto,2020,72271,2615,12246
Honda,Accord,SUV,Petrol,Auto,2015,20945,2380,19334
Honda,Civic,Hatchback,Diesel,Auto,2016,26178,2059,17039
Nissan,Micra,Hatchback,Hybrid,Manual,2023,14663,2329,13043
Renault,Clio,Sedan,Diesel,Auto,2018,61370,2324,13561

